Comparison,log2FoldChange,padj,Gene
SF vs NC,-1.297396378,0.000191079,LOC107051757
SF vs NC,-1.296822651,0.013466821,DNAH11
SF vs NC,-1.294338068,0.007915857,LOC112533525
SF vs NC,-1.29382002,0.04497415,VPS37D
SF vs NC,-1.292255557,0.003644439,SCT
SF vs NC,-1.289874252,0.000170833,LRRC34
SF vs NC,-1.288945483,0.022301326,FADS1
SF vs NC,-1.28837044,0.017299557,LOC112531843
SF vs NC,-1.280155955,0.045127493,RASSF10
SF vs NC,-1.279446768,0.001837087,HESX1
SF vs NC,-1.27724741,0.011627927,SULF2
SF vs NC,-1.275589081,0.002472567,J6367_mgp08
SF vs NC,-1.275273409,0.000824653,RAP1GAP3
SF vs NC,-1.27272963,0.01266196,LOC107052170
SF vs NC,-1.271783666,0.00046311,RDH10
SF vs NC,-1.270421753,0.015645798,LOC101751084
SF vs NC,-1.268784664,0.032141005,KCNH6
SF vs NC,-1.267906443,0.012634074,LOC121113246
SF vs NC,-1.267399299,0.000319588,LOC771638
SF vs NC,-1.265409218,0.00198223,IL17RD
SF vs NC,-1.262610945,0.01878993,LOC101750768
SF vs NC,-1.261646541,0.039199079,LRRC8C
SF vs NC,-1.259891721,0.013470934,GPC2
SF vs NC,-1.25913675,0.040575446,A4GALT
SF vs NC,-1.257916247,0.030462082,APBA2
SF vs NC,-1.257816798,3.33E-05,AHRR
SF vs NC,-1.257095769,0.015378969,DRD1
SF vs NC,-1.256563851,0.013753853,ARHGEF1
SF vs NC,-1.256031713,0.033431796,MYOF
SF vs NC,-1.255482117,0.018410512,HDGFRP3
SF vs NC,-1.25499575,0.00182094,FAM83B
SF vs NC,-1.254256958,0.003089966,TTC8
SF vs NC,-1.25267608,0.04734742,SGCB
SF vs NC,-1.25257211,0.004114438,C12orf75
SF vs NC,-1.252530757,0.000146787,PTN
SF vs NC,-1.252110606,0.014221944,FZD6
SF vs NC,-1.252018771,0.018858121,LOC124417604
SF vs NC,-1.251677545,0.001450193,POLR3G
SF vs NC,-1.251033595,0.00172853,SYT12
SF vs NC,-1.250614779,0.004435751,MMP23A
SF vs NC,-1.249250487,0.047807544,LOC121106851
SF vs NC,-1.249228722,0.000634175,PCSK2
SF vs NC,-1.247140204,0.000232524,LRFN3
SF vs NC,-1.244508723,0.000755323,KCNK12
SF vs NC,-1.241413163,0.008097908,LOC107052451
SF vs NC,-1.240935547,0.018299928,LOC101748714
SF vs NC,-1.24033494,0.004938798,LOC107053813
SF vs NC,-1.236161911,0.001162895,LOC112532241
SF vs NC,-1.232303915,0.007923098,COLQ
SF vs NC,-1.23215128,0.000765076,GHRH
